time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-11-05 07:32:38.741 UTC,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331158421,3145728, , , , ,2,1,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , ,1,52,5,71,143653184,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:33:38.744 UTC,125,3164173,1184,17984,336, ,4, ,9, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331158421,3145728, , , , ,3,16,3,2,3, , ,3,3, , , , , , , , , , , ,4096,2,371,3, , , , ,1,129,3,80,320530400,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , 
2016-11-05 07:34:38.746 UTC,125,3170413,1392,24224,336, ,6, ,15, , , , , , , , , ,6,6, , , , ,1,11, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331158421,3145728, , , , ,5,7,5, ,5, , ,3,5, , , , , , , , , , , , , ,1024,5, , , , , , ,2,91,118649352,-1, , , , , , ,17, , , , , , , , , , , , , , , , , ,9, , , , ,4, ,1, ,1, , , , , , , , , , , , , , , , , , , 
2016-11-05 07:35:38.748 UTC,125,3170413,1392,24224,336, ,6, ,2, , , , , , , , , ,6,6, , , , ,1,11, ,1, , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331158421,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1,27,202559368,-1, , , , , , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:36:38.752 UTC,125,3170413,1392,24224,336, ,6, , , , , , , , , , , ,6,6, , , , ,1,11, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331158421,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1,29,237781704,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:37:38.753 UTC,125,3170413,1392,24224,336, ,6, , , , , , , , , , , ,6,6, , , , ,1,11, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331158421,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1,28,336391496,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:38:38.758 UTC,125,3170413,1392,24224,336, ,6, , , , , , , , , , , ,6,6, , , , ,1,11, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331158421,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1,23,395493040,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:39:38.932 UTC,125,3170229,1392,24376, , ,6, ,62,6,0,10, , , , , , , ,6,6, ,17, ,3,4,8, ,45,6, , , , , , , , , , , , , ,3727,2,2445,2445,1, ,6,12, , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331578626,3145728, , , ,16,1,1,1,4,1, , ,3,2, , , ,16, ,2048,1, , , , ,96256,26,1387,1, , , , ,1,56,4,71,151374984,-1, , , , , , ,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:40:38.935 UTC,125,3170565,1392,24376,336, ,6, ,12, , , , , , , , , ,6,6, , , ,3,2,10, ,10,7, , , , , , , , , , , , , ,3727,2,2445,2445, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331578626,3145728, , , ,7, , , ,1, , , ,3, , , , ,7,1, , , , , , ,16384,8, , , , , , ,1,132,2,73,314028072,-1, , , , , , ,14, , , , , , , , , , , ,2, , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:41:38.937 UTC,125,3170565,1392,24376,336, ,6, , , , , , , , , , , ,6,6, , , ,3,2,10, , , , , , , , , , , , , , , , ,3727,2,2445,2445, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331578626,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,29,390008336,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:46:01.515 UTC,125,3160405,1392,14552, , ,3, ,20,3,0,15, , , , , , , ,3,3, ,2, ,2,1,5, ,14,6, , , , , , , , , , , , , ,3727,2, ,2445, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331961247,3145728, , , ,14, , , ,2, , , ,3, , , , ,14, ,2048,1, , , , ,88064,22, , , , , , ,1,52,4,63,151551360,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:47:01.518 UTC,125,3163789,1392,17600,336, ,4, ,7,1,0,14, , , , , , , ,4,4, , , ,3,2,6, ,6,3, , , , , , , , , , , , , ,3727,2, ,2445, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331961247,3145728, , , ,5, , , ,1, , , ,3, , , , ,5,1, , , , , , ,12288,6, , , , , , ,1,110,2,110,327635448,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:48:01.521 UTC,589,3167381,1392,20728,336, ,5, ,14,1,0,07, , , , , , , ,5,5, , , ,3,2,8, ,6,4, , , , , , , , , , , , , ,3727,2, ,2445, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331961247,3145728, , , ,6,2,1,2,2,2, , ,3,2, , , ,6,1, , , , , , ,16384,8,279,2, , , , , , ,1,33,409160456,-1, , , , , , ,12, , , , , ,1, , , , , ,2, , , , , , , , , ,1,7, ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 07:49:01.523 UTC,589,3167381,1392,20728,336, ,5, ,2, , , , , , , , , ,5,5, , , ,3,2,8, , , , , , , , , , , , , , , , ,3727,2, ,2445, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478331961247,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,31,493183672,-1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
